snapped_at,price,market_cap,total_volume
2018-04-08 00:00:00 UTC,0.04791596155601725,11043611.403638527,64563.90307248273
2018-04-09 00:00:00 UTC,0.04756654905828158,10963079.244431905,27916.251147958883
2018-04-10 00:00:00 UTC,0.04758450666989208,10967218.092488455,58837.68863303271
2018-04-11 00:00:00 UTC,0.056549647566613424,13033492.649590079,189060.42752991413
2018-04-12 00:00:00 UTC,0.07292132401236891,16806816.335929014,826022.3582999603
2018-04-13 00:00:00 UTC,0.07993233390866529,18422705.203175128,392025.01969755377
2018-04-14 00:00:00 UTC,0.07775141064544987,17920048.713814083,215856.46700661237
2018-04-15 00:00:00 UTC,0.08079830194769218,18622292.44300968,117478.006594286
2018-04-16 00:00:00 UTC,0.09183653196504618,21166370.010004207,173814.1693230275
2018-04-17 00:00:00 UTC,0.09749574417002735,22470698.221585132,409620.45882053836
2018-04-18 00:00:00 UTC,0.09322060896251443,21485370.36012521,262360.8476119807
2018-04-19 00:00:00 UTC,0.09712807052343296,22385957.25543338,243702.38731885617
2018-04-20 00:00:00 UTC,0.11042132493118739,25449770.047697157,432719.73289065785
2018-04-21 00:00:00 UTC,0.0993585706052969,22900040.14848128,639765.6900129872
2018-04-22 00:00:00 UTC,0.09269093086866337,21363290.809855256,214718.33621895825
2018-04-23 00:00:00 UTC,0.09123344776527817,21027371.911466084,232278.87200407125
2018-04-24 00:00:00 UTC,0.11378424101306676,26224850.77623277,968010.7382643728
2018-04-25 00:00:00 UTC,0.12155328686420731,28015450.830386788,464378.6026977003
2018-04-26 00:00:00 UTC,0.1051523162332901,24235375.456576575,284075.26473250595
2018-04-27 00:00:00 UTC,0.1095557921510702,25250283.125796393,183541.33604909404
2018-04-28 00:00:00 UTC,0.1097878801782483,25303774.486511245,156050.67794446295
2018-04-29 00:00:00 UTC,0.11192088025357969,25795385.69895353,124551.19736833984
2018-04-30 00:00:00 UTC,0.11190754621256148,25792312.485713866,142224.5202871319
2018-05-01 00:00:00 UTC,0.10762021952262305,24804174.746501952,160907.6486949642
2018-05-02 00:00:00 UTC,0.10971634978174431,25287288.2494227,141459.30524725866
2018-05-03 00:00:00 UTC,0.1138507099384386,26240170.451731004,124674.42938671703
2018-05-04 00:00:00 UTC,5.349798149368689,1233014843.7167902,10.716200323137585
2018-05-05 00:00:00 UTC,0.13208952040866195,30443828.8727831,461729.141040504
2018-05-06 00:00:00 UTC,0.14239184461149923,32818295.780171026,869415.3920981011
2018-05-07 00:00:00 UTC,0.12976562343408854,29908219.97971567,283275.1540419917
2018-05-08 00:00:00 UTC,0.1176516665845296,27116210.226335816,175970.90262013103
2018-05-09 00:00:00 UTC,0.11455273499761544,26401972.316859007,102181.45341388242
2018-05-10 00:00:00 UTC,0.1105227498864351,25473146.3456157,118003.43916313641
2018-05-11 00:00:00 UTC,0.09903097407842519,22824536.10718758,141189.21712305583
2018-05-12 00:00:00 UTC,0.08833695389896694,20359791.596811064,109963.36073318626
2018-05-13 00:00:00 UTC,0.10202138192479085,23513761.59951221,145755.47241430028
2018-05-14 00:00:00 UTC,0.0977601317381414,22531633.940443475,84227.8381214316
2018-05-15 00:00:00 UTC,0.10186037086152937,23476651.96930542,117552.86236022391
2018-05-16 00:00:00 UTC,0.09973131359936158,22985949.49155199,102794.94451118878
2018-05-17 00:00:00 UTC,0.09594594004949825,22113501.289642695,53285.260216519324
2018-05-18 00:00:00 UTC,0.08861658740113212,20424241.179644555,62741.13341952469
2018-05-19 00:00:00 UTC,0.08670386457896612,19983399.195368033,79242.56132873232
2018-05-20 00:00:00 UTC,0.0840150393918177,19363682.1003773,26998.647531238654
2018-05-21 00:00:00 UTC,0.08620568711079644,19868579.870244347,26245.548156837423
2018-05-22 00:00:00 UTC,0.0852209626263583,19641621.792129405,38376.449386991255
2018-05-23 00:00:00 UTC,0.08057355303823496,18570492.593046628,37657.745372764344
2018-05-24 00:00:00 UTC,0.07178500240774731,16544918.341534616,81806.59167803191
2018-05-25 00:00:00 UTC,0.0736678614334193,16978877.355026305,27665.11928071195
2018-05-26 00:00:00 UTC,0.07300158946979489,16825315.819027383,27370.954552326533
2018-05-27 00:00:00 UTC,0.06996070565900686,16124456.689012885,17925.14070543584
2018-05-28 00:00:00 UTC,0.06659918583282053,15349697.767758042,27627.689880601036
2018-05-29 00:00:00 UTC,0.06179314738800631,14242007.986484932,22435.377369363403
2018-05-30 00:00:00 UTC,0.06892388524470403,15885491.60558168,56299.67303582916
2018-05-31 00:00:00 UTC,0.06428721706765236,14816838.07360335,46045.374021687945
2018-06-01 00:00:00 UTC,0.06806531332888847,15687609.015053688,53340.63785688745
2018-06-02 00:00:00 UTC,0.0660420129114794,15221281.243741762,58362.50144847472
2018-06-03 00:00:00 UTC,0.06787724827738295,15644264.015183358,13831.484623924964
2018-06-04 00:00:00 UTC,0.0705949957530839,16270647.083376043,38116.9932292704
2018-06-05 00:00:00 UTC,0.06747564760536078,15551703.590280522,35751.683291576235
2018-06-06 00:00:00 UTC,0.06971162381993463,16067048.615604999,21782.923679387102
2018-06-07 00:00:00 UTC,0.06388142570410733,14723311.783314787,111210.03577808544
2018-06-08 00:00:00 UTC,0.06114070284741777,14091633.377801318,88222.20441337592
2018-06-09 00:00:00 UTC,0.059883259840676314,13801819.472836874,59031.77168231543
2018-06-10 00:00:00 UTC,0.06525201213158725,15039202.843593186,68739.53550316607
2018-06-11 00:00:00 UTC,0.05447836812009543,12556106.731143126,45899.232738915474
2018-06-12 00:00:00 UTC,0.06529246834654268,15048527.141850406,109003.33595345491
2018-06-13 00:00:00 UTC,0.0625352504724708,14413046.985184483,166896.23861076526
2018-06-14 00:00:00 UTC,0.05517000147497203,12715513.529149724,92725.770180471
2018-06-15 00:00:00 UTC,0.05807485874091396,13385021.429781012,57097.74530190067
2018-06-16 00:00:00 UTC,0.05516260869628093,12713809.650684046,25539.2044549716
2018-06-17 00:00:00 UTC,0.05573732398969461,12846269.318863066,10301.99887480048
2018-06-18 00:00:00 UTC,0.05269875851549605,12145944.51619097,14404.42415290177
2018-06-19 00:00:00 UTC,0.055022875239994384,12681604.056948608,22372.86277662876
2018-06-20 00:00:00 UTC,0.05629986665696047,12975923.455261596,13691.434876615634
2018-06-21 00:00:00 UTC,0.05351353561082472,12333733.330798725,20803.195028300586
2018-06-22 00:00:00 UTC,0.056871908076897605,13107766.852397345,35102.29072024523
2018-06-23 00:00:00 UTC,0.05504022789006459,12685603.474219503,185975.55701429676
2018-06-24 00:00:00 UTC,0.055586629747393826,12811537.496758442,58592.23804345065
2018-06-25 00:00:00 UTC,0.04952443216847316,11414329.715893805,53674.11761835748
2018-06-26 00:00:00 UTC,0.05239142529908284,12075110.737565242,27039.358099402558
2018-06-27 00:00:00 UTC,0.04953015208184822,11415648.034435796,14425.57931381545
2018-06-28 00:00:00 UTC,0.04771913269350006,10998246.531473354,32858.686072639044
2018-06-29 00:00:00 UTC,0.04498191565420919,10367376.142406723,22349.805904950063
2018-06-30 00:00:00 UTC,0.05304376289717891,12225460.698275803,123358.2306383307
2018-07-01 00:00:00 UTC,0.055388545367345436,12765883.254469521,62829.16718726806
2018-07-02 00:00:00 UTC,0.0536575132640251,12366917.121776057,39943.24151978396
2018-07-03 00:00:00 UTC,0.05863441561086757,13513987.4033174,35664.503047816106
2018-07-04 00:00:00 UTC,0.05302047649260112,12220093.676623853,48414.53340423904
2018-07-05 00:00:00 UTC,0.05499837266160654,12675956.733064974,32505.055949090915
2018-07-06 00:00:00 UTC,0.05376362453005504,12391373.514792668,21443.630809825485
2018-07-07 00:00:00 UTC,0.054675280148833674,12601490.771355802,22966.0991551927
2018-07-08 00:00:00 UTC,0.05563345101366557,12822328.804150384,15617.349070386841
2018-07-09 00:00:00 UTC,0.05427514738032193,12509268.667033847,21785.64358914266
2018-07-10 00:00:00 UTC,0.0547631052094863,12621732.582431944,27922.95896353318
2018-07-11 00:00:00 UTC,0.05297650753014606,12209959.764678726,19261.814497019775
2018-07-12 00:00:00 UTC,0.05231357759303256,12057168.494805928,47266.40998960537
2018-07-13 00:00:00 UTC,0.04822425099117376,11114665.570374498,43975.66896755563
2018-07-14 00:00:00 UTC,0.05293404297964922,12200172.587736258,58882.044521644304
2018-07-15 00:00:00 UTC,0.05313207859819453,12245815.591534413,30988.32360989293
2018-07-16 00:00:00 UTC,0.053852202503891514,12411788.856365811,47539.738604213184
2018-07-17 00:00:00 UTC,0.06124209599786997,14115002.345390033,118227.403194205
2018-07-18 00:00:00 UTC,0.07902309086622594,18213143.994215082,366674.040141806
2018-07-19 00:00:00 UTC,0.08122466527826737,18720560.134750117,245626.17684104262
2018-07-20 00:00:00 UTC,0.09047872581198324,21823409.85467858,310073.49768816645
2018-07-21 00:00:00 UTC,0.09326504411629825,22495468.018572465,424322.0601192163
2018-07-22 00:00:00 UTC,0.07925884250098102,19117181.292988993,274617.12766264967
2018-07-23 00:00:00 UTC,0.0731493959801938,17643586.763315357,203669.614209052
2018-07-24 00:00:00 UTC,0.07340711872825337,17705749.32262754,110168.45962931204
2018-07-25 00:00:00 UTC,0.07537510961900279,18180427.446282223,119540.85946963457
2018-07-26 00:00:00 UTC,0.07655428745035772,18464844.372739438,72517.37010701041
2018-07-27 00:00:00 UTC,0.07728122525795997,18640181.299423527,72808.47922632299
2018-07-28 00:00:00 UTC,0.08132798177765457,19616256.341582127,191231.15036961625
2018-07-29 00:00:00 UTC,0.07561920042147134,18239301.989178613,106299.51968582327
2018-07-30 00:00:00 UTC,0.07563096941072682,18242140.661737192,75566.6960438632
2018-07-31 00:00:00 UTC,0.07382785513067504,17807230.66941298,40522.50241228983
2018-08-01 00:00:00 UTC,0.06568252212146572,15842581.642058153,35021.351480691716
2018-08-02 00:00:00 UTC,0.05870578424936582,14159797.002187273,57055.15724444058
2018-08-03 00:00:00 UTC,0.05316893115385954,12824311.63450567,52582.161278413514
2018-08-04 00:00:00 UTC,0.05490459145840895,13242951.771783791,45028.787099091925
2018-08-05 00:00:00 UTC,0.04889463557856917,11793354.320037758,23267.907360120324
2018-08-06 00:00:00 UTC,0.05082603275860923,12259206.064455252,20797.58473972638
2018-08-07 00:00:00 UTC,0.04786465551304335,11544923.797719972,20974.03215345236
2018-08-08 00:00:00 UTC,0.04708694690863254,11357340.987846678,15339.383155956504
2018-08-09 00:00:00 UTC,0.04543695555620208,10959364.146134831,17644.32057212182
2018-08-10 00:00:00 UTC,0.0474116464471767,11435658.30548883,31969.16339862099
2018-08-11 00:00:00 UTC,0.042361747372707065,10217625.931161152,27453.21547176646
2018-08-12 00:00:00 UTC,0.03497069911816684,8434909.896347415,42823.54160187429
2018-08-13 00:00:00 UTC,0.03540753314934802,8540273.980726195,14250.966119886296
2018-08-14 00:00:00 UTC,0.03023638034642956,7292995.285911584,22856.31443741522
2018-08-15 00:00:00 UTC,0.026950456033953876,6545222.229154252,17603.90706189258
2018-08-16 00:00:00 UTC,0.03163627602079337,7684853.912176323,31682.55306371819
2018-08-17 00:00:00 UTC,0.031309500974961525,7607074.3570977785,20724.17584063248
2018-08-18 00:00:00 UTC,0.032704238769591665,7945163.181808697,22668.017462642336
2018-08-19 00:00:00 UTC,0.032010580102429284,7780883.219793683,11820.600155560956
2018-08-20 00:00:00 UTC,0.03240995493638335,7878643.04497903,7234.17792509868
2018-08-21 00:00:00 UTC,0.03217787180550362,7824769.014590383,7321.0667050906095
2018-08-22 00:00:00 UTC,0.03294325037540907,8019040.63128076,17777.478192741302
2018-08-23 00:00:00 UTC,0.030424034131868984,7401572.009815679,9762.405074670005
2018-08-24 00:00:00 UTC,0.03253811412281247,7917268.050602077,9735.164075205346
2018-08-25 00:00:00 UTC,0.033154945975730155,8069928.759829566,6996.483973297378
2018-08-26 00:00:00 UTC,0.033734110288697,8212027.130144748,11726.248028695592
2018-08-27 00:00:00 UTC,0.03279342602809167,7984440.443144814,11787.267101705087
2018-08-28 00:00:00 UTC,0.03336584323499452,8122783.3074696995,16560.95433540096
2018-08-29 00:00:00 UTC,0.03482505597939379,8482666.972509623,23579.14553669765
2018-08-30 00:00:00 UTC,0.034638035805050336,8438363.022831006,19008.711936280386
2018-08-31 00:00:00 UTC,0.03283015236401662,7998942.148412938,15846.806434607246
2018-09-01 00:00:00 UTC,0.03207962348273296,7817304.687997734,22140.943528070555
2018-09-02 00:00:00 UTC,0.03500988686490567,8532179.008118168,42515.13039363503
2018-09-03 00:00:00 UTC,0.037061798182685665,9014769.27015912,39516.85785367687
2018-09-04 00:00:00 UTC,0.03478488883662123,8475001.575634582,33494.39162398842
2018-09-05 00:00:00 UTC,0.03584663502482047,8739401.462995483,29524.648305963245
2018-09-06 00:00:00 UTC,0.03083017355837171,7517332.825747955,23816.8309671783
2018-09-07 00:00:00 UTC,0.029388913187797377,7171527.404101214,9193.25493052042
2018-09-08 00:00:00 UTC,0.028750338160014963,7017509.988334412,8563.207271675949
2018-09-09 00:00:00 UTC,0.02782325034946656,6786856.524898834,5654.387851352505
2018-09-10 00:00:00 UTC,0.027055898406917727,6600412.266358059,2617.203783572901
2018-09-11 00:00:00 UTC,0.026922482697391916,6568776.108899879,6571.680231168108
2018-09-12 00:00:00 UTC,0.0257076488426014,6273154.6712575015,8058.5599693695785
2018-09-13 00:00:00 UTC,0.02510039423446624,6125748.823078212,15983.268987649586
2018-09-14 00:00:00 UTC,0.028843352315512126,7040103.295342196,17306.993358707008
2018-09-15 00:00:00 UTC,0.030743125160242996,7327865.16744,24571.17043944938
2018-09-16 00:00:00 UTC,0.030744590140908558,7506049.842106354,8258.74684796317
2018-09-17 00:00:00 UTC,0.03127140580991669,7635629.585509138,20869.247174551892
2018-09-18 00:00:00 UTC,0.031347857324900995,7588070.357157469,17234.97866296398
2018-09-19 00:00:00 UTC,0.03371146647116392,8234300.97191951,28533.920376243623
2018-09-20 00:00:00 UTC,0.04089143726991462,10166781.436479587,86379.62671132361
2018-09-21 00:00:00 UTC,0.031048364519226577,7584988.166274454,112553.64616185677
2018-09-22 00:00:00 UTC,0.03322695577543061,8118231.027659697,78823.7953995005
2018-09-23 00:00:00 UTC,0.03154777348937688,7708929.619305565,16816.127246360444
2018-09-24 00:00:00 UTC,0.030088101564647033,7353174.817595409,50733.24179828068
2018-09-25 00:00:00 UTC,0.027347660966628187,6676538.632120747,20358.25441256999
2018-09-26 00:00:00 UTC,0.027204012034597685,6475426.459994903,16503.18533526656
2018-09-27 00:00:00 UTC,0.027511498542343294,6726012.079830164,10430.912894123543
2018-09-28 00:00:00 UTC,0.028447964106471324,6955839.732376748,6053.033255804697
2018-09-29 00:00:00 UTC,0.02815025329912319,6883910.781216507,11475.12712898662
2018-09-30 00:00:00 UTC,0.02732747131474896,6683542.089781998,6011.153749821518
2018-10-01 00:00:00 UTC,0.027945837094013454,6835640.386296399,5976.706444595335
2018-10-02 00:00:00 UTC,0.02843422177385714,6955974.776081393,13092.381929248
2018-10-03 00:00:00 UTC,0.026743905125081447,6543292.063394355,8539.190394048586
2018-10-04 00:00:00 UTC,0.027065174612682503,6623625.865359187,10062.498955418863
2018-10-05 00:00:00 UTC,0.027562798043756095,6745338.299491629,5991.48655106072
2018-10-06 00:00:00 UTC,0.027882878327944904,6821724.349805156,19949.032643577983
2018-10-07 00:00:00 UTC,0.027457912111419985,6721353.134967529,10303.759678097334
2018-10-08 00:00:00 UTC,0.027385203811191486,6704402.090587113,6461.897980014233
2018-10-09 00:00:00 UTC,0.0260372515341512,6375175.39608819,26428.728220584395
